rank,selection,qiskit_bitstring,probability
0,1100,0011,0.12324328300605014
1,0110,0110,0.12314915317541995
2,0101,1010,0.12314230031151109
3,1001,1001,0.1231233342634422
4,1010,0101,0.1231093675884309
5,0011,1100,0.12303673982614566
6,1110,0111,0.031122532259439634
7,1101,1011,0.031118644752141645
8,0111,1110,0.031077969063325057
9,1011,1101,0.031065010344530485
10,0100,0010,0.030784320215505943
11,1000,0001,0.030773662961453136
12,0001,1000,0.030748386875087085
13,0010,0100,0.030741684108655812
14,0000,0000,0.006922815647800781
15,1111,1111,0.006840795601060326
